Combo,Combo_Name,Combination,Test_Accuracy,Pred_File,New_Column_Name
1,one,Concreteness,0.4492798038614771,e:\VS code project\Cross Attention for Combo\Combo_one_RESULT\Test_Cro_Atten_Concreteness_pred_seed.csv,pred_CTR_1
1,one,Numeric,0.4520380018387986,e:\VS code project\Cross Attention for Combo\Combo_one_RESULT\Test_Cro_Atten_Numeric_pred_seed.csv,pred_CTR_2
1,one,Pronoun,0.4523444682807233,e:\VS code project\Cross Attention for Combo\Combo_one_RESULT\Test_Cro_Atten_Pronoun_pred_seed.csv,pred_CTR_3
1,one,Suspense,0.4498927367453263,e:\VS code project\Cross Attention for Combo\Combo_one_RESULT\Test_Cro_Atten_Suspense_pred_seed.csv,pred_CTR_4
1,one,Sentiment,0.4471345387680049,e:\VS code project\Cross Attention for Combo\Combo_one_RESULT\Test_Cro_Atten_Sentiment_pred_seed.csv,pred_CTR_5
1,one,Length,0.4529574011645725,e:\VS code project\Cross Attention for Combo\Combo_one_RESULT\Test_Cro_Atten_Length_pred_seed.csv,pred_CTR_6
2,two,sentiment_length,0.4523444682807233,e:\VS code project\Cross Attention for Combo\Combo_two_RESULT\Test_Cro_Atten_sentiment_length_pred_seed.csv,pred_CTR_7
2,two,sentiment_Concreteness_Label,0.4440698743487588,e:\VS code project\Cross Attention for Combo\Combo_two_RESULT\Test_Cro_Atten_sentiment_Concreteness_Label_pred_seed.csv,pred_CTR_8
2,two,sentiment_Numeric_Label,0.4443763407906834,e:\VS code project\Cross Attention for Combo\Combo_two_RESULT\Test_Cro_Atten_sentiment_Numeric_Label_pred_seed.csv,pred_CTR_9
2,two,sentiment_Suspense_Label,0.4370211461844928,e:\VS code project\Cross Attention for Combo\Combo_two_RESULT\Test_Cro_Atten_sentiment_Suspense_Label_pred_seed.csv,pred_CTR_10
2,two,sentiment_Pronoun_Label,0.4422310756972111,e:\VS code project\Cross Attention for Combo\Combo_two_RESULT\Test_Cro_Atten_sentiment_Pronoun_Label_pred_seed.csv,pred_CTR_11
2,two,length_Concreteness_Label,0.450199203187251,e:\VS code project\Cross Attention for Combo\Combo_two_RESULT\Test_Cro_Atten_length_Concreteness_Label_pred_seed.csv,pred_CTR_12
2,two,length_Numeric_Label,0.4456022065583818,e:\VS code project\Cross Attention for Combo\Combo_two_RESULT\Test_Cro_Atten_length_Numeric_Label_pred_seed.csv,pred_CTR_13
2,two,length_Suspense_Label,0.4627643273061599,e:\VS code project\Cross Attention for Combo\Combo_two_RESULT\Test_Cro_Atten_length_Suspense_Label_pred_seed.csv,pred_CTR_14
