test_id,headline,CTR,pred_CTR_1,pred_CTR_2,pred_CTR_3,pred_CTR_4,pred_CTR_5,pred_CTR_6,pred_CTR_7,pred_CTR_8,pred_CTR_9,pred_CTR_10,pred_CTR_11,pred_CTR_12,pred_CTR_13,pred_CTR_14,pred_CTR_15,pred_CTR_16,pred_CTR_17,pred_CTR_18,pred_CTR_19,pred_CTR_20,pred_CTR_21,pred_CTR_22,pred_CTR_23,pred_CTR_24,pred_CTR_25,pred_CTR_26,pred_CTR_27,pred_CTR_28,pred_CTR_29,pred_CTR_30,pred_CTR_31,pred_CTR_32,pred_CTR_33,pred_CTR_34,pred_CTR_35,pred_CTR_36,pred_CTR_37,pred_CTR_38,pred_CTR_39,pred_CTR_40,pred_CTR_41,pred_CTR_42,pred_CTR_43,pred_CTR_44,pred_CTR_45,pred_CTR_46,pred_CTR_47,pred_CTR_48,pred_CTR_49,pred_CTR_50,pred_CTR_51,pred_CTR_52,pred_CTR_53,pred_CTR_54,pred_CTR_55,pred_CTR_56,pred_CTR_57,pred_CTR_58,pred_CTR_59,pred_CTR_60,pred_CTR_61,pred_CTR_62,pred_CTR_63
20,"if your response to this poster is 'yeah, but …' you're that guy",0.0211055276381909,0.01450192,0.014162466,0.01572606,0.0048976913,0.014214311,0.013585273,0.008628387,0.0103269685,0.014534541,0.018741917,0.024805937,0.006132083,0.016565863,0.016546713,0.006810602,0.015373316,0.020200416,0.013828743,0.010468875,0.012799263,0.019763751,0.010374284,0.010864096,0.014311258,0.01789847,0.02193347,0.0059016254,0.021961566,0.015825182,0.006192982,0.015220169,0.019685125,0.014677555,0.010150797,0.012946572,0.015907694,0.004875697,0.013810143,0.018154753,0.016232453,0.014944911,0.0091102,0.010433958,0.0049580336,0.016861735,0.023000836,0.0063830484,0.020752179,0.018166438,0.007373942,0.014774244,0.020036802,0.013573506,0.010736015,0.013299122,0.015816363,0.009868218,0.009898865,0.014945723,0.016870925,0.023708943,0.0061537623,0.008902337
20,finally! an anti-rape campaign that isn't victim blame-y.,0.030560271646859,0.015172454,0.015756454,0.01600339,0.004065875,0.015374254,0.015388701,0.011180017,0.013100486,0.015863668,0.02101845,0.025351208,0.0056214444,0.017922,0.01720696,0.0069212914,0.0155019015,0.018247928,0.011585723,0.011302906,0.012300834,0.021220975,0.011656527,0.012627478,0.016361453,0.020162538,0.026044343,0.0062404815,0.019596335,0.01669092,0.006735567,0.014475986,0.01850845,0.01372974,0.011486844,0.011961799,0.012736252,0.010996869,0.012656575,0.019405855,0.017971396,0.015140336,0.011559825,0.013087303,0.007221706,0.020243775,0.024509829,0.0063078254,0.020719122,0.017044261,0.0068428274,0.014484495,0.018846516,0.011156517,0.013616893,0.012445979,0.01372727,0.01189504,0.012215099,0.016104218,0.020756077,0.02600177,0.0053814854,0.00967085
20,raise your hand if you'd like to see this anti-rape culture campaign go global,0.0256923590256923,0.018896312,0.018773202,0.017197259,0.0064771343,0.018001882,0.018110823,0.008622456,0.012453967,0.01713502,0.024638478,0.026236568,0.0077277813,0.015460247,0.021906119,0.011358913,0.016131118,0.020340366,0.013367407,0.012017562,0.011798818,0.015821602,0.010277735,0.013108805,0.017053109,0.018681787,0.026846163,0.008472143,0.01948862,0.01998936,0.010169841,0.015683942,0.021362089,0.014160885,0.014117048,0.014869362,0.0127398055,0.010555647,0.013916707,0.01839892,0.020758614,0.016688684,0.009464961,0.012678743,0.0062811263,0.022337912,0.025978182,0.009830039,0.018535977,0.020282162,0.009557618,0.015842825,0.02113023,0.016065234,0.0137903,0.013102356,0.012682157,0.010526417,0.010415006,0.016191678,0.023300212,0.026872039,0.008011775,0.007524974
20,"if you want to stop rape, these are the people you should be targeting",0.0238976775496465,0.018106561,0.018573118,0.018313684,0.007993903,0.016914442,0.01789624,0.010875141,0.014352902,0.015761748,0.023702862,0.026192132,0.0067233704,0.016169019,0.018717539,0.008856557,0.017577223,0.019280924,0.01394224,0.010359979,0.013941754,0.018610427,0.0122649595,0.014190158,0.014341568,0.02311264,0.025436144,0.0073830597,0.02016116,0.018758897,0.008659657,0.016676888,0.02071895,0.013779846,0.012064819,0.01510945,0.013532737,0.0076027364,0.015920803,0.021289842,0.018139185,0.015933484,0.010734507,0.013944304,0.005223602,0.021924373,0.025372244,0.006673485,0.020073244,0.019206863,0.008872701,0.016663149,0.019922225,0.013463585,0.011715163,0.015735157,0.014447102,0.0117806345,0.012662558,0.013696501,0.022874612,0.02521361,0.0062947255,0.009550275
34,90% of americans agree on gun control reform. so why hasn't anything happened yet?,0.008955223880597,0.00763165,0.008290993,0.0076969583,-0.0045120157,0.0064419284,0.0072295517,0.0050460426,0.0057013314,0.0066272486,0.012186833,0.016705327,-0.0014277566,0.011827279,0.012059247,0.0013944842,0.0053552575,0.010717421,0.0024046265,0.0024359496,0.006873004,0.010104543,0.007023412,0.0063201534,0.0068039745,0.010307368,0.017300896,-0.0016373899,0.012605557,0.012555938,0.00083954446,0.0057719536,0.011555107,0.004333132,0.00196487,0.008246262,0.0073212963,-0.0012919419,0.003368134,0.012494465,0.010757074,0.007107351,0.006094805,0.0072782654,-0.0036446825,0.012002835,0.01662236,-0.00046060048,0.013834953,0.012084106,0.0011899285,0.0058064573,0.011183467,0.0026235925,0.0027988823,0.008280061,0.0059789084,0.0070423144,0.0060760593,0.0067405235,0.011284955,0.016783483,-0.0009293724,0.0051507093
34,shooting victim gabby giffords can finally speak again — and it's about gun violence,0.0128108515448379,0.019622462,0.01974665,0.020719683,0.008376647,0.018404946,0.017898435,0.0077088573,0.011879968,0.016940579,0.022139776,0.02334017,0.006165562,0.017396484,0.022969548,0.008828655,0.019012462,0.019406483,0.014757411,0.011933279,0.014429893,0.023253076,0.007572131,0.012010781,0.016351955,0.021235904,0.024295717,0.006166717,0.018662123,0.01942808,0.007263705,0.017159678,0.01987405,0.017379992,0.012613519,0.017007787,0.012237648,0.008147199,0.015169697,0.021549536,0.020712636,0.017099205,0.007141241,0.012756823,0.0067011192,0.021692656,0.023592204,0.0071466677,0.019682193,0.01741459,0.008490922,0.016451135,0.020238288,0.013962404,0.011931883,0.01663547,0.011347037,0.0074175713,0.0116272615,0.016971339,0.021200236,0.023687534,0.00591328,0.0054161977
34,optimism about gun violence from the woman who knows far too much about gun violence,0.0083598726114649,0.016180882,0.018213432,0.017512674,0.006315343,0.016858537,0.01878116,0.0071559777,0.0065198485,0.016408162,0.0152233895,0.025559131,0.005147103,0.014577409,0.016300157,0.0036837608,0.016866792,0.019078676,0.012447509,0.007721347,0.01436558,0.018703032,0.009859101,0.0057832366,0.016421694,0.020176312,0.025394201,0.005768167,0.02124446,0.016863296,0.0048425794,0.016184684,0.01868509,0.016263558,0.010957564,0.013733838,0.009641638,0.007863879,0.010512897,0.022896757,0.01699026,0.0153566245,0.008620616,0.0080605745,0.008787099,0.015489945,0.024863012,0.0064377747,0.021182526,0.01698099,0.0048921537,0.015145142,0.01910968,0.011721258,0.010438722,0.014168005,0.010135602,0.009384999,0.0067528943,0.01653536,0.016943676,0.024721183,0.004182771,0.006943238
34,2 years ago gabby giffords was shot in the head. now she's got something important to say.,0.0141663639665819,0.0225317,0.022340266,0.022482606,0.012393976,0.02182005,0.021600697,0.012835461,0.014533499,0.02001129,0.023945991,0.029257044,0.012762541,0.021578077,0.024843523,0.014412228,0.027142052,0.023259602,0.015618224,0.012221008,0.018195163,0.021580055,0.014058301,0.016290393,0.020109111,0.021045674,0.029978395,0.012702741,0.023776727,0.023020625,0.013710767,0.026103396,0.023108339,0.017670901,0.015616699,0.018951204,0.017421216,0.017735008,0.019797489,0.02558195,0.02484607,0.022855207,0.013675472,0.0152432285,0.010444816,0.02424696,0.029683474,0.011083994,0.0237468,0.02262437,0.014871484,0.02560782,0.02383647,0.018311255,0.01486896,0.01893064,0.015825089,0.013500531,0.016495654,0.019148968,0.024959115,0.030370388,0.011163417,0.011789458
102,what are the odds of another asteroid hitting the earth?,0.0041279669762641,0.009422632,0.009734958,0.009533536,-0.0005836971,0.00878603,0.009703513,0.0033057835,0.0010831086,0.011825526,0.0147824995,0.015315228,0.00081539527,0.010304105,0.013490088,-0.0054613706,0.008149877,0.013663495,0.0070643313,0.0066973222,0.007554006,0.013544343,0.0050110873,0.0005206736,0.0120934285,0.01322446,0.013797828,0.0017609429,0.012524119,0.012129407,-0.0047137924,0.007740427,0.014781988,0.009181963,0.00713678,0.0065952875,0.0076961312,0.0008212235,0.0061696414,0.014102681,0.0100834165,0.004482517,0.004762212,0.0014945613,-0.00075481087,0.013607834,0.014422533,0.0013351254,0.013792669,0.011505187,-0.005176984,0.0075256936,0.014666067,0.0068303435,0.007934917,0.00786943,0.007573098,0.004455059,-4.2402185e-05,0.011429695,0.013488313,0.014517403,-0.00017695129,0.002807863
102,how many earth-destroying asteroids are headed towards us at this exact moment?,0.0058351568198395,0.011925587,0.011072399,0.011980498,0.00036497042,0.010438893,0.0122187175,0.005051083,0.005533954,0.011973051,0.013814708,0.017325267,0.0033975895,0.009930866,0.015333887,0.00079815835,0.011680655,0.013970563,0.008972609,0.006643503,0.008570436,0.015791265,0.006567321,0.0056315875,0.011061717,0.013463184,0.016730044,0.0037406366,0.0130062755,0.014131146,0.00095185265,0.011442859,0.014260053,0.01015068,0.0048583793,0.008982506,0.010426834,0.0032312144,0.008882919,0.019316176,0.0136007015,0.0065943506,0.006156167,0.0057544443,0.0009041466,0.014038915,0.016583923,0.0023445264,0.012078922,0.015183261,0.0007460397,0.011213303,0.013969632,0.008122632,0.0063946918,0.009487167,0.010585668,0.0062151244,0.0042792214,0.011100737,0.014701206,0.017534696,0.001364585,0.0052541457
